ALB                    CARICA BATTERIA BC 12V
CFS                    RELÈ DI FASE
AMC1                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AMC2                   ALIMENTATORE MCP2015X,RSS 24V
AB1                    CARICABATTERIE BATTERIE EMERGENZA 24V
AB2                    CARICABATTERIE BATTERIE EMERGENZA 24V
BC                     BATTERIA ALLARME 12V 7AH
F1                     FUSIBILE 4A TR1
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5-F6                  FUSIBILE MOTORE PORTE 48VCC LATO1-2
F8                     FUSIBILE PATTINO RETRATTILE
F10                    FUSIBILE 4A PROTEZIONE +24VDC GRUPPO BATTERIE
F11                    FUSIBILE 4A PROTEZIONE +48VDC GRUPPO BATTERIE
VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

MCP2015X-SMD           SCHEDA MADRE MICROPROCESSORE
PER16B-SMD             SCHEDA PERIFERICA
L1307                  SCHEDA LEGGE 13
SMS-START              SOFT-STARTER (SMS)

Y                      TELERUTTORE STELLA
P                      TELERUTTORE PROTEZIONE
DIS                    TELERUTTORE DISCESA
SAL                    TELERUTTORE SALITA
PV                     RELÈ BASSA VELOCITÀ
RP                     RELÈ PATTINO
AP1 - AP2              RELÈ APERTURA
CP1 - CP2              RELÈ CHIUSURA
RSS                    RELÈ SICUREZZA
TM - TM1 - TM2         RELÈ TENSIONE MANOVRA
RBL                    RELÈ CONTROLLO ALLARME PORTE APERTE

RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD4                    RADDRIZZATORE PATTINO
RD5                    RADDRIZZATORE PORTE LATO1
RD6                    RADDRIZZATORE PORTE LATO2

IS                     INDUTTORE N.O. CONTEGGIO SALITA E FERMATA
ID                     INDUTTORE N.O. CONTEGGIO DISCESA E FERMATA
FCS                    BISTABILE FINECORSA SALITA
FCD                    BISTABILE FINECORSA DISCESA
IP1 - IP2              INDUTTORE DOPPIO N.O. ZONA DI SICUREZZA
IAL                    INDUTTORE N.C. ALLARME PORTE APERTE FUORI PIANO
IAX                    INDUTTORE N.O. PER FERMATA PIANO ESTREMO CORTO
